# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ahl2_airport
# Exported by: Reverend Jesse V92
setting:	replacespawns 1
weapon_ttt_smokegrenade	379.033966 -210.621765 33.166473	-2.321 -1.370 -1.269
weapon_ttt_smokegrenade	-380.014465 281.678741 32.159451	-2.578 -1.238 -1.410
weapon_ttt_smokegrenade	-380.040466 270.957367 32.166473	-2.320 -1.370 -1.269
weapon_ttt_smokegrenade	-663.884155 536.253723 20.773611	-25.504 -142.291 87.442
weapon_ttt_smokegrenade	15.861862 1990.708618 160.153015	-2.494 -1.231 -1.795
weapon_ttt_smokegrenade	-830.824768 45.400314 0.149470	-2.614 -1.175 -1.876
ttt_random_weapon	452.012177 904.043335 179.813217	0.412 2.528 -99.019
ttt_random_weapon	566.487976 943.535706 180.313141	-1.855 16.501 84.191
ttt_random_weapon	476.682281 1199.641235 180.531921	0.365 2.516 -99.280
ttt_random_weapon	575.914734 1161.794067 180.832199	-3.295 2.792 -35.604
ttt_random_weapon	-217.938965 1235.155884 180.899979	-3.402 3.657 -34.749
ttt_random_weapon	-440.880341 895.187195 179.786255	-0.269 2.995 -98.785
ttt_random_weapon	-768.389832 495.454590 340.065857	-0.345 2.782 -99.034
ttt_random_weapon	-583.138672 1526.359497 421.636230	-4.457 0.924 -11.789
ttt_random_weapon	-59.283283 1526.895508 437.345825	-4.436 0.813 -12.464
ttt_random_weapon	570.676208 1518.713013 420.093781	0.340 2.500 -99.415
ttt_random_weapon	876.886353 499.409821 340.531525	0.302 2.550 -99.625
ttt_random_weapon	-12.067220 2011.853882 161.284073	1.001 2.897 -97.546
item_ammo_smg1_ttt	381.682587 315.651306 32.484760	-0.795 0.003 -0.644
item_ammo_smg1_ttt	381.614594 294.551910 32.518848	-0.232 0.013 -0.199
item_ammo_smg1_ttt	-522.306213 877.391968 17.311296	-0.718 -0.021 -0.431
item_ammo_smg1_ttt	-507.518768 877.383057 17.252920	-0.189 -0.020 -0.072
item_ammo_smg1_ttt	503.636932 1691.713989 179.212723	-0.185 0.167 0.023
item_ammo_smg1_ttt	469.111053 1726.220947 179.274719	0.093 1.260 0.212
item_ammo_smg1_ttt	977.509644 2358.568604 197.093170	-0.487 0.004 0.205
item_ammo_smg1_ttt	-12.486213 1958.658936 160.503128	-0.803 0.013 -0.601
item_ammo_smg1_ttt	-470.772766 1331.117554 179.226517	-0.222 -0.015 -0.116
item_ammo_smg1_ttt	-439.923889 1331.104614 179.192734	-0.061 -0.009 -0.027
weapon_ttt_m16	175.472977 235.553284 32.863647	2.126 -5.693 83.905
weapon_ttt_m16	-185.362045 239.550323 32.861748	2.150 -5.702 83.924
weapon_ttt_m16	-546.949890 2515.174561 179.618439	2.047 -5.704 83.595
item_box_buckshot_ttt	-357.796265 243.169022 32.426109	-0.682 -0.007 0.605
item_box_buckshot_ttt	-334.464355 232.593750 32.390484	1.055 0.011 0.925
item_box_buckshot_ttt	-310.503998 239.441208 32.357494	-1.024 -0.001 -0.823
item_box_buckshot_ttt	-286.684174 240.095352 32.349632	-0.701 -0.003 -0.559
item_box_buckshot_ttt	283.866699 878.997559 16.927536	-0.711 -0.005 0.571
item_box_buckshot_ttt	304.623810 881.445068 16.884916	-0.746 -0.005 0.677
item_box_buckshot_ttt	328.505096 881.436951 16.870832	0.765 -0.114 -0.539
item_box_buckshot_ttt	156.611954 2058.211914 400.433655	-0.623 -0.007 0.552
item_box_buckshot_ttt	161.943832 2034.333740 400.380249	-0.041 0.002 0.119
item_box_buckshot_ttt	160.227356 2010.340088 400.383484	-0.618 -0.005 0.587
ttt_random_ammo	483.032776 898.973328 178.846375	0.045 0.000 -0.026
ttt_random_ammo	495.189697 898.573853 178.894089	0.315 0.002 0.328
ttt_random_ammo	422.086365 896.934387 178.972122	0.506 0.021 0.609
ttt_random_ammo	553.421936 920.817322 178.882843	0.120 0.000 0.085
ttt_random_ammo	592.470154 976.552979 178.890244	0.215 0.001 0.204
ttt_random_ammo	446.110931 1201.093018 179.654648	1.264 0.032 1.516
ttt_random_ammo	415.314819 1207.093018 179.593414	0.086 -0.000 -0.040
ttt_random_ammo	545.427673 1194.358521 178.829987	0.046 -0.000 0.033
ttt_random_ammo	560.397400 1177.404053 178.839508	0.045 0.000 -0.030
ttt_random_ammo	-253.611191 1227.456299 178.861221	0.052 0.000 -0.010
ttt_random_ammo	-172.310120 1232.111572 178.945602	1.074 0.029 1.291
ttt_random_ammo	-484.884766 897.976807 178.844116	0.045 0.000 -0.027
ttt_random_ammo	-408.897186 893.374207 178.870819	0.066 0.000 0.012
ttt_random_ammo	-842.191223 493.841400 339.157196	0.082 0.000 0.034
ttt_random_ammo	-872.541443 493.174316 339.205841	1.542 -0.041 1.008
ttt_random_ammo	-912.729431 492.976898 339.156403	-0.381 -0.002 0.358
ttt_random_ammo	-615.330994 1523.776489 419.435638	0.070 0.000 0.018
ttt_random_ammo	-540.831421 1525.029053 419.444946	0.805 0.191 0.440
ttt_random_ammo	-100.448463 1525.512085 435.268097	0.020 0.022 0.392
ttt_random_ammo	-15.751238 1525.515869 435.164551	0.248 -0.226 0.140
ttt_random_ammo	486.396729 1524.621704 419.411591	0.046 0.000 -0.024
ttt_random_ammo	454.537354 1524.578247 419.407104	0.045 0.000 -0.027
ttt_random_ammo	841.738342 492.482849 339.616089	-1.030 0.632 -0.841
ttt_random_ammo	905.012878 495.415100 339.551300	0.046 0.000 -0.033
ttt_random_ammo	-19.245787 2028.295044 160.361557	0.067 0.000 0.012
ttt_random_ammo	7.680725 2045.762817 160.361557	0.068 0.000 0.013
weapon_zm_rifle	595.139221 1581.600952 170.659393	-29.859 -26.908 -31.908
weapon_zm_rifle	-169.691223 2065.753418 399.188263	3.455 7.721 65.385
weapon_zm_mac10	386.786682 337.724976 33.286152	-0.386 -50.743 -88.795
weapon_zm_mac10	-551.936829 883.127258 19.973280	35.417 -5.497 -23.030
weapon_zm_mac10	487.305603 1718.550293 179.626358	0.045 -9.321 86.617
weapon_zm_mac10	989.104492 2366.322754 197.895462	-0.510 -53.908 -88.365
weapon_zm_mac10	-20.977148 1975.468140 161.263840	-0.259 -47.613 -88.809
weapon_zm_mac10	-502.415558 1328.828003 179.986969	-0.084 -46.315 -88.308
ttt_playerspawn	102.770645 -358.426788 0.549546	-0.211 -0.095 -0.051
ttt_playerspawn	-79.350098 -359.181580 0.595498	-0.014 0.088 -0.000
ttt_playerspawn	-117.209152 -355.392029 0.548048	-0.245 -0.088 -0.080
ttt_playerspawn	-119.417236 -284.935791 0.550863	-0.229 -0.027 -0.073
ttt_playerspawn	-78.153763 -276.506897 0.518987	0.078 0.000 0.078
ttt_playerspawn	58.435047 -355.738495 0.536923	0.036 0.118 0.236
ttt_playerspawn	53.511292 -284.197815 0.576927	-0.039 -0.065 0.111
ttt_playerspawn	107.539917 -288.132629 0.544675	-0.253 -0.154 -0.077
ttt_playerspawn	118.833237 -233.520584 0.583771	-0.062 0.033 -0.011
ttt_playerspawn	73.687439 -227.740860 0.518987	0.078 0.000 0.078
ttt_playerspawn	26.640020 -224.105530 0.586247	-0.056 -0.068 -0.013
ttt_playerspawn	-24.801769 -221.651627 0.561637	-0.123 -2.523 -0.001
ttt_playerspawn	-78.936783 -215.764908 0.570234	0.025 0.129 0.119
ttt_playerspawn	-119.264397 -212.618500 0.574178	0.161 0.044 0.201
ttt_playerspawn	-166.398453 -280.833862 0.560661	0.010 0.027 0.135
ttt_playerspawn	-212.126984 -324.301025 0.543971	0.018 -0.050 0.196
ttt_playerspawn	-247.444504 -382.277924 0.551300	0.109 -0.155 -0.105
ttt_playerspawn	-286.712952 -384.990814 0.533402	-0.064 0.000 -0.064
ttt_playerspawn	-294.597015 -332.044250 0.520199	-0.076 0.000 -0.076
ttt_playerspawn	-254.878464 -320.691162 0.571284	-0.065 0.149 0.026
ttt_playerspawn	-252.107040 -267.781921 0.558680	-0.081 -0.399 0.149
ttt_playerspawn	-208.934036 -261.265137 0.544415	0.025 -0.042 0.201
